iter	Logloss
479	0.1260622032
480	0.126036431
481	0.1260345376
482	0.1259521296
483	0.1257806174
484	0.1255728865
485	0.1253003479
486	0.1252220232
487	0.1249513904
488	0.1246470078
489	0.1246449973
490	0.124200174
491	0.1241489561
492	0.1241232749
493	0.124097901
494	0.1240731639
495	0.1240491394
496	0.1240476366
497	0.1240470339
498	0.1237687949
499	0.1237684614
500	0.1237662737
501	0.1233987102
502	0.1230649211
503	0.1230636924
504	0.1224471211
505	0.1223552578
506	0.1223532398
507	0.1222558734
508	0.122183899
509	0.1221802143
510	0.1221789296
511	0.1220246459
512	0.1220238943
513	0.1220224959
514	0.1219964348
515	0.1219953962
516	0.1219934213
517	0.1216374744
518	0.1216119954
519	0.1216082346
